ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11+DIVO11+AUVP11,SMALL11,Imobiliário,77.13,74.86,90.0,,,0.8,,86.65,79.64,44.49,70.55,False,1,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.33,True,7840327168.0,3.7,1.05,6.17,8.09,28.4,16.71,13.12,52.59,4.92,1.22,1.3,1.73,0.86,0.25,29.95,90.2,6.9,7.25,0.72,61.6,36.26,5.01,13.76,136.0,-14.0,7.4,9.14,8.87,-27.9,39.5,60.3,7.38,13.76,45.17,1.39,0.61,0.05,11.829999923706055,False,False,True,6.839683688038318,12.68761324131108,42.36418891597438,28.469542574662707,73.83934337516953,19.57807411896471,38.687297047795475,19.68611457333278,,,,6,False,10.8,,,n/d,2026-10-01,próxima,,,False,False,,,Em Alta,11.539999961853027,2.5129979446417705,-15.85152033560483,True,False,False,sem sinal (Em Alta)
VULC3,SMALL11+DIVO11,SMALL11,Consumo discricionário,77.0,78.23,70.0,,,0.9,,87.33,64.57,65.68,96.58,False,2,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4114879488.0,4.55,1.59,29.65,15.44,35.06,31.82,17.83,24.89,6.12,0.76,0.6,2.96,0.37,0.44,70.26,-64.7,5.74,11.45,1.64,37.42,62.57,13.1,20.08,0.0,-34.8,-10.4,17.0,16.76,-34.8,25.7,-34.2,13.1,19.91,-49.33,0.87,0.59,0.14,13.100000381469727,False,False,False,14.448094142792497,26.801214634880083,38.14835275922503,23.102464250169405,74.4806299564236,48.598234314289556,26.56419527990789,8.89314575441588,,,,6,False,8.4,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,13.819999694824219,-5.209835956972864,-35.243867964155406,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.2%))
MDNE3,SMALL11,SMALL11,Imobiliário,74.38,71.62,90.0,,,0.8,,72.46,75.47,59.97,81.51,False,3,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$24.50, preço 4.9% acima do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2657750016.0,4.82,1.18,14.97,9.3,24.38,16.15,10.98,21.43,4.63,0.91,1.16,2.38,0.48,0.36,44.81,19.5,4.02,6.4,1.12,72.76,27.27,20.62,34.28,24.6,-25.0,-5.2,25.57,26.51,-33.9,44.9,11.7,22.65,34.28,-3.43,1.65,0.64,0.12,25.700000762939453,False,False,False,17.06705353560945,31.659384308555527,70.64834234625471,51.11635439746436,121.3120374571118,25.56896665426089,59.33743944469036,44.67904491974626,47.16825534516202,47.89769965860531,43.10792969274478,6,True,7.1,67.73513001177938,83.53406204244453,n/d,2026-01-02,última,,,False,False,,,Em Alta,25.920000076293945,-0.8487627805051634,-25.029166633282497,True,False,False,sem sinal (Em Alta)
POMO3,SMALL11+DIVO11,SMALL11,Bens Industriais,73.5,74.12,70.0,,,0.7,,79.6,74.6,52.35,91.78,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5387677696.0,4.52,1.28,21.29,12.72,28.32,24.74,18.39,13.19,4.74,1.29,0.98,1.94,0.81,0.38,57.5,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,16.3,-33.0,-16.2,5.55,5.42,-42.4,35.3,-18.2,3.73,6.43,-33.33,0.93,0.46,0.04,4.340000152587891,False,False,False,3.943707520512457,7.315577450550608,12.722345580041935,8.558680251050912,23.771225061712805,11.120766313839884,9.828942592198814,5.433120466653573,8.417591453549742,8.558680251050912,7.702812225945821,7,True,6.0,77.48414643148631,93.95371330875257,n/d,2026-08-26,última,,,False,False,,,Lateral,4.340000152587891,0.0,-33.55520307668661,True,False,False,sem sinal (Lateral)
POMO4,BOVA11+SMALL11+DIVO11+AUVP11+Carteira,BOVA11,Bens Industriais,72.63,73.1,70.0,,,0.7,,79.6,72.71,52.35,86.3,False,5,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5735269376.0,4.79,1.36,20.09,10.22,28.32,24.74,18.39,13.19,4.95,1.29,0.98,1.94,0.81,0.33,48.94,-14.0,4.73,8.76,1.02,59.93,39.42,3.93,7.69,17.5,-39.9,-15.4,5.8,5.9,-48.9,35.0,-18.1,3.93,6.81,-33.23,0.99,0.49,0.04,4.619999885559082,False,False,True,3.3717188365132094,6.254538441732002,12.779749161515204,8.586101397311843,23.80142512154736,11.520775448501947,11.343124169176061,5.452171327864065,11.3911264382355,11.343124169176061,10.208811752258455,7,True,7.1,120.96995682117972,146.561184424294,n/d,2026-08-26,última,"A Marcopolo (POMO4) apresenta uma sólida combinação de alta eficiência e valuation atrativo no setor de bens industriais, evidenciada por um ROE de 28,3% e um ROIC de 18,4% que se posicionam significativamente acima dos pares setoriais (14,5% e 12,6%, respectivamente). Essa elevada qualidade operacional convive com múltiplos de preço bastante descontados, visto que o P/L de 4,79 e o P/VP de 1,36 sugerem que o mercado ainda não precifica totalmente a rentabilidade da companhia. O expressivo Dividend Yield de 20,09% mostra-se sustentável no curto prazo, sendo amparado por uma forte geração de caixa e por um endividamento sob controle, com a relação Dívida Líquida/EBITDA em 1,29, patamar que está confortavelmente abaixo da média do setor de 2,39. No entanto, o crescimento histórico acende um sinal de alerta, dado que o CAGR de receita dos últimos cinco anos contraiu 14,0%, ficando muito aquém da expansão média de 21,6% registrada pelos seus pares. Esse descompasso entre a eficiência atual e o histórico de crescimento reflete-se no checklist de critérios fundamentais, no qual a empresa atende a 5 dos 8 requisitos estabelecidos, penalizada justamente pela ausência de expansão recente na receita, pela margem líquida de 13,19% (abaixo do sarrafo de 15%) e por vendas de papéis por parte de insiders. Sob a ótica do valuation, as estimativas de preço-teto revelam uma enorme dispersão entre os métodos analíticos, variando desde os conservadores R$ 3,36 pelo modelo de Bazin até os otimistas R$ 23,70 pela fórmula de Lynch. Diante dessa volatilidade metodológica, a média de R$ 11,35 e a mediana de R$ 11,29 convergem para um preço-teto ajustado com margem de segurança de R$ 10,16, o que projeta um expressivo potencial de valorização de 121,0% em relação à cotação atual de R$ 4,60. Em suma, o ativo destaca-se positivamente pelo seu excepcional retorno sobre o capital, endividamento saudável e proventos robustos, mas traz como contrapartida o desafio de retomar o crescimento de sua receita e superar a tendência lateralizada de suas ações.",,False,True,4.45,3.82,Lateral,4.599999904632568,0.4347822030685622,-40.169132847106994,True,False,False,sem sinal (Lateral)
PSSA3,BOVA11+AUVP11,BOVA11,Insurance,72.59,72.17,75.0,,1.8,0.3,,75.6,51.77,100.0,52.05,False,6,Não,,,False,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,32914954240.0,8.95,2.04,5.91,5.34,22.84,17.35,79.28,8.13,,,,,,0.75,47.75,0.3,8.24,6.06,,71.59,28.18,43.07,55.45,19.2,-7.4,1.1,47.94,48.45,-16.1,25.9,10.9,44.27,55.45,-4.23,0.75,0.5,0.03,51.349998474121094,False,False,True,19.568635165932452,36.2998182328047,76.02094746168765,57.00396866958858,99.08038889419431,48.178046391914286,58.365566798052626,,45.01686181308477,42.238932312359495,38.01503908112355,4,True,3.9,-25.96876297809041,-12.333275266265176,2026-11-05,2026-06-23,última,,,False,False,,,Lateral,50.9900016784668,0.7060144808866076,-7.560757552877506,True,False,False,sem sinal (Lateral)
MILS3,SMALL11,SMALL11,Bens Industriais,71.02,69.43,80.0,,,0.7,,84.08,58.48,57.15,55.48,False,7,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3589124352.0,8.2,1.95,5.39,5.7,23.81,18.37,20.65,23.53,4.87,1.28,0.87,2.98,0.99,0.65,46.76,21.3,8.42,11.12,0.54,61.6,38.32,10.3,15.81,52.9,-0.4,6.6,12.86,13.16,-15.0,26.9,24.5,12.01,15.81,9.37,0.71,0.46,0.07,15.75,False,False,False,6.4158194240431525,11.901345031600048,25.449695121951216,18.683041793473045,35.29996752416336,12.298871948951566,20.434378950361598,18.99365198166426,20.437278907452157,18.99365198166426,17.094286783497836,7,True,5.5,8.535154180938642,29.760500999696227,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.75,0.0,-1.1919672859786345,True,False,False,sem sinal (Em Alta)
LEVE3,SMALL11+DIVO11+AUVP11,SMALL11,Consumo discricionário,70.47,70.55,70.0,,,0.9,,85.84,59.44,35.33,100.0,False,8,Não,,,False,6,8,False,,True,,True,False,True,False,True,True,7,10,True,True,True,False,False,True,True,True,True,True,True,1.2,True,4442968576.0,6.4,4.62,8.67,19.55,72.29,64.73,34.45,13.0,5.23,1.21,0.49,1.43,1.7,0.25,125.13,25.8,6.43,14.14,0.81,77.23,22.71,24.65,35.6,33.0,-7.9,-0.1,32.25,31.25,-12.3,24.5,3.9,31.18,35.6,-11.23,0.63,0.45,0.11,32.779998779296875,True,True,True,45.776956259063304,84.91625386056242,67.86484122276305,28.594941825953335,153.6562442779541,98.51666666666667,61.97468519210816,26.012321437519667,70.91411384282384,64.91976320743561,58.42778688669205,8,True,5.9,78.2421875,116.3334853069355,n/d,2026-04-30,última,,,False,False,,,Em Alta,34.0,-3.588238884420958,-9.472522485223179,True,False,False,sem sinal (Em Alta)
PETR4,BOVA11+DIVO11+AUVP11,BOVA11,Energia,70.12,73.67,50.0,,,0.9,DY5a=41.0%>=20,85.49,82.37,36.19,,False,10,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$45.19, preço 5.2% acima do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,True,False,True,True,True,False,5,10,True,True,True,True,True,True,True,False,True,True,True,0.61,True,649698738176.0,4.66,1.29,7.56,41.01,27.73,30.77,19.69,24.32,2.9,1.29,0.92,0.85,0.76,0.31,191.11,96.8,4.81,10.07,0.28,65.87,33.99,26.84,48.2,77.1,-1.3,14.8,37.03,36.02,-22.2,26.0,64.7,27.87,48.2,49.57,0.35,0.23,-0.04,47.54999923706055,True,True,True,139.2887079368015,258.38055322276676,135.20117808820862,91.99282586645556,306.1158749166988,56.1476,123.46673621640186,57.86724722310348,146.0575904338046,129.33395715230523,116.40056143707471,8,True,5.5,144.79613733905578,207.16633601955365,n/d,2026-08-24,última,,,False,False,,,Em Alta,48.20000076293945,-1.348550862220499,-3.334009830116069,True,False,False,sem sinal (Em Alta)
CURY3,BOVA11+SMALL11+DIVO11+AUVP11,BOVA11,Consumo discricionário,69.31,67.42,80.0,,,0.9,,89.54,28.18,56.9,86.99,False,13,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$33.19, preço 0.2% acima do pescoço; falta fechar acima e segurar",False,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,-0.13,True,10239502336.0,9.44,6.27,14.3,10.4,66.38,57.38,37.72,17.89,6.09,-0.15,-0.06,1.92,0.66,7.76,98.17,8.2,6.93,16.3,0.91,70.61,24.44,26.99,40.16,23.1,-17.2,6.4,31.43,31.81,-29.9,39.7,10.8,28.13,40.16,-4.33,1.31,0.57,0.06,33.2400016784668,False,False,True,24.690196635008846,27.370004418283106,27.881191276653674,20.494273541579833,40.902249409793164,49.856710194034264,12.100298882505342,24.231492524586777,28.440802110305626,26.030100526645974,23.427090473981377,8,True,4.1,-29.521392024604864,-14.438024445919751,n/d,2026-08-17,última,,,False,False,,,Em Alta,33.65999984741211,-1.2477664018100243,-17.412923749424515,True,False,False,sem sinal (Em Alta)
