ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,beta,corr_ibov,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11,SMALL11,Imobiliário,78.16,76.07,90.0,,,0.8,,84.79,79.87,54.69,70.14,1,Não,6,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,False,True,True,False,True,0.19,True,7040480256.0,3.67,1.0,6.55,7.77,27.12,12.14,53.01,4.67,0.74,1.92,0.74,0.24,28.53,5.2,0.72,61.6,36.26,4.9,13.85,115.6,-23.8,-3.3,1.34,0.61,10.5600004196167,5.863286347888284,10.876396175332765,38.12534211441996,26.147017790688015,65.52752456803445,18.172143000048706,34.81635015731936,15.531598327830423,,,,6,False,11.2,,,n/d,2026-08-31,próxima,,,False,False,,,Em Baixa,11.33961009979248,-6.875101289329589,-25.390518441253953,True,False,False,sem sinal (Em Baixa; sem novo topo (-6.9%))
VULC3,SMALL11,SMALL11,Consumo discricionário,76.2,77.29,70.0,,,0.9,,88.59,59.09,65.37,95.83,2,Não,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,0.23,True,4315911680.0,4.67,1.64,29.66,15.46,35.06,17.83,24.89,6.27,0.76,2.96,0.37,0.48,72.18,-64.7,1.64,37.42,62.57,13.63,20.08,0.8,-31.6,-9.8,0.88,0.57,13.739999771118164,15.16877049990438,28.138069277322625,38.98393939342947,23.550363791916208,74.17241179776917,46.747304516651056,25.898943118579407,8.923781165411105,,,,6,False,8.3,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.5,-5.241380888840252,-32.08021271437712,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.2%))
POMO3,SMALL11,SMALL11,Bens Industriais,75.91,75.19,80.0,,,0.7,,81.77,75.47,52.49,90.28,3,Não,5,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,False,False,True,True,False,True,0.37,True,4965601280.0,4.16,1.18,23.6,11.85,28.32,18.39,13.81,4.46,1.06,1.97,0.84,0.29,49.3,23.0,1.02,59.93,39.42,4.0,6.69,0.0,-40.2,-28.3,0.89,0.45,4.0,3.3857710590591106,6.280605314554649,12.740384615384611,8.56374213004354,25.201285969183672,11.369605532788732,11.247281632620082,5.063465809100799,9.210847505748735,9.905511881331812,8.914960693198632,6,True,7.4,122.8740173299658,130.27118764371838,n/d,2026-04-27,última,,,False,False,,,Em Baixa,4.989999771118164,-19.83967568191539,-40.660587950633754,True,False,False,sem sinal (Em Baixa; sem novo topo (-19.8%))
MDNE3,SMALL11,SMALL11,Imobiliário,75.69,73.16,90.0,,,0.8,,73.6,75.93,65.69,79.17,4,Não,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,0.21,True,2522308864.0,4.43,1.08,16.3,9.22,24.38,10.98,19.89,4.28,0.7,2.78,0.43,0.31,40.84,87.7,1.12,72.76,27.27,18.83,34.28,29.2,-29.1,-14.3,1.61,0.62,24.31999969482422,16.016260685275245,29.71016357118558,72.74040540776994,52.74011632521694,129.7913672352641,23.915684019634558,64.43326882392859,39.54600466267358,,,,6,False,8.1,,,n/d,2026-01-02,última,,,False,False,,,Em Baixa,25.399999618530273,-4.251968267425299,-29.054840837648797,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.3%))
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,74.53,73.56,80.0,,,0.7,,81.77,72.86,52.49,80.56,5,Não,5,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,False,False,True,True,False,True,0.37,True,5350435328.0,4.47,1.26,22.01,9.47,28.32,18.39,13.81,4.69,1.06,1.97,0.84,0.3,42.34,23.0,1.02,59.93,39.42,4.29,7.92,0.2,-45.7,-26.8,0.93,0.48,4.300000190734863,2.9092423423560647,5.3966445450705,12.746085576563072,8.59450165943603,23.541251824162835,11.598875509216516,11.639821545389676,5.09871465931528,,,,7,False,8.1,,,n/d,2026-04-27,última,,,False,False,,,Em Baixa,5.380000114440918,-20.074347597263696,-45.918419085764384,True,False,False,sem sinal (Em Baixa; sem novo topo (-20.1%))
PSSA3,BOVA11,BOVA11,Insurance,72.82,72.44,75.0,,1.8,0.3,,76.96,50.68,100.0,51.39,6,Não,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,,True,29992032256.0,8.43,1.93,6.27,5.33,22.84,79.28,8.34,,,,,0.67,44.96,3.6,,71.59,28.18,43.07,55.45,8.6,-15.6,-7.9,0.73,0.49,46.790000915527344,17.82651818303625,33.06819122953224,73.54300262523573,55.02396356833848,99.37454176553325,47.34647212920709,58.682596173741544,,42.94604604175283,40.207331679369666,36.1865985114327,4,True,4.1,-22.66168454075812,-8.215334042660583,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,55.45000076293945,-15.617673089736195,-15.769574152737187,True,False,False,sem sinal (Em Baixa; sem novo topo (-15.6%))
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,71.96,70.54,80.0,,,0.9,,90.38,40.46,57.12,83.33,7,Rompimento,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,-0.2,True,9968419840.0,8.66,5.75,13.6,9.82,66.38,37.72,18.37,5.57,-0.2,1.94,0.71,0.87,85.07,33.5,0.91,70.61,24.44,27.53,40.96,17.6,-21.0,0.4,1.28,0.59,32.36000061035156,22.70647352320415,42.120508385543694,49.51154827796283,21.752386528530476,73.73564018949347,55.504323271233694,33.25694615910025,25.46460519193207,40.50655394087508,37.68872727232197,33.91985454508978,8,True,3.4,4.820314911363877,25.17476259848257,n/d,2026-05-18,última,"A Cury apresenta uma notável eficiência operacional no setor de consumo discricionário, evidenciada por um ROE de 66,4% e um ROIC de 37,7% que se posicionam muito acima dos pares setoriais, os quais registram médias de 11,7% e 12,7%, respectivamente. Essa alta qualidade do negócio convive com múltiplos de preço mistos, pois, enquanto o P/L de 8,66 sugere atratividade frente ao forte retorno, o P/VP de 5,75 indica um prêmio patrimonial elevado, embora o PEG de 0,87 aponte que o crescimento ainda não está totalmente precificado. A excelente rentabilidade, sustentada por uma margem líquida de 18,37%, é acompanhada por uma sólida estrutura de capital, na qual a relação dívida líquida sobre EBITDA de -0,2 revela uma posição de caixa líquido muito mais confortável que a média do setor de 2,83. Esse endividamento sob controle e a robusta liquidez corrente de 1,94 dão forte sustentabilidade ao expressivo dividendo distribuído, cujo rendimento de 13,6% mostra-se plenamente coerente com a geração de lucro e a saúde financeira da companhia. Por outro lado, o crescimento da receita nos últimos cinco anos, com um CAGR de 33,5%, ficou abaixo da média setorial de 55,5%, o que impediu a empresa de gabaritar o checklist de critérios fundamentalistas, no qual ela atendeu a 6 dos 8 requisitos devido também à ocorrência de venda de ações por parte de insiders. Sob a ótica do valuation, a análise dos preços-teto revela uma dispersão acentuada entre os métodos de avaliação, variando desde os conservadores R$ 21,75 por Graham e R$ 22,71 por Bazin até os otimistas R$ 49,51 por fluxo de caixa descontado e R$ 73,74 por Lynch. Essa divergência resulta em uma média de R$ 40,51 e uma mediana de R$ 37,69, estabelecendo um preço-teto ajustado com margem de segurança de R$ 33,92, o que confere um potencial de valorização de 4,8% em relação ao preço atual de R$ 32,36. Como principais prós, destacam-se a rentabilidade excepcional, a ausência de endividamento líquido e o dividend yield altamente atrativo; em contrapartida, pesam negativamente o crescimento histórico inferior ao dos seus pares, as transações de insiders e a tendência gráfica de baixa no curto prazo.",Rompimento,False,False,,,Em Baixa,32.029998779296875,1.0302898646002756,-21.161240342276212,True,True,True,"Rompimento (vol x1.1, +1.0% do topo, MM50>MM200)"
MILS3,SMALL11,SMALL11,Bens Industriais,70.85,69.23,80.0,,,0.7,,86.35,53.78,57.2,54.86,8,Pivô de alta,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,0.69,True,3554190848.0,8.12,1.93,6.83,5.73,23.81,20.65,23.53,4.84,1.28,2.98,0.99,0.64,46.51,21.3,0.54,61.6,38.32,10.16,15.81,53.5,-1.3,9.6,0.76,0.48,15.600000381469727,6.382526845170627,11.839587297791512,25.455665647102695,18.692147479162628,35.472192516178055,12.575019385728243,20.512083879116517,17.898514130050227,20.34931576216141,18.692147479162628,16.822932731246365,7,True,5.6,7.839309742769518,30.444328618947345,n/d,2026-04-22,última,"A Mills (MILS3) apresenta-se como uma opção robusta no setor de bens industriais, destacando-se por uma eficiência operacional muito superior à de seus pares, evidenciada pelo ROE de 23,8% e ROIC de 20,6% que se posicionam bem acima das médias setoriais de 14,7% e 12,7%, respectivamente. Essa elevada qualidade de retorno convive com múltiplos de preço bastante atrativos, uma vez que o P/L de 8,12 e o P/VP de 1,93 sugerem que o mercado ainda não precifica totalmente a rentabilidade da companhia, configurando uma relação favorável entre qualidade e preço. No âmbito financeiro, a excelente rentabilidade é acompanhada por um endividamento controlado, visto que a relação dívida líquida sobre EBITDA de 1,28 vezes está confortavelmente abaixo da média do setor de 2,33 vezes, o que, somado a uma liquidez corrente de 2,98, confere grande segurança ao balanço. Essa solidez financeira e a forte geração de lucros dão sustentabilidade ao dividendo distribuído, cujo rendimento de 6,83% mostra-se coerente com a estrutura de capital e a capacidade de pagamento da empresa. Por outro lado, o crescimento histórico da receita nos últimos cinco anos, de 21,3%, ficou significativamente abaixo da média setorial de 117,7%, indicando que a companhia expande em ritmo mais lento que seus concorrentes diretos. No checklist de critérios fundamentalistas, a empresa atende a seis dos oito requisitos avaliados, sendo penalizada justamente pelo crescimento inferior ao do setor e por movimentações de venda de ações por parte de pessoas de dentro da companhia. Sob a ótica do valuation, as estimativas de preço-teto revelam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 6,37 por Bazin e R$ 11,82 por Gordon, até os otimistas R$ 25,42 por fluxo de caixa descontado e R$ 35,43 pelo modelo de Lynch. Diante dessa amplitude, a média dos modelos aponta para R$ 20,32 e a mediana para R$ 18,67, resultando em um preço-teto ajustado com margem de segurança de R$ 16,80, o que confere um potencial de valorização de 7,8% frente à cotação atual de R$ 15,58, que atualmente segue em tendência de alta com pivô gráfico confirmado. Em um balanço final, os principais pontos positivos residem na alta rentabilidade, no endividamento sob controle e no valuation atrativo, enquanto os pontos de atenção concentram-se no crescimento abaixo da média dos pares e nas transações recentes de insiders.",Pivô de alta,False,False,,,Em Alta,15.8100004196167,-1.3282734508116123,-2.132993775809111,True,True,True,Pivô de alta
RIAA3,SMALL11,SMALL11,Consumo discricionário,70.82,70.97,70.0,,,0.9,,66.67,92.94,42.49,92.36,9,Não,4,8,False,,False,,False,False,True,True,True,True,7,10,True,True,False,False,False,True,True,False,True,2.93,False,3539544576.0,2.31,0.66,45.86,13.11,28.35,8.96,14.35,2.59,2.11,1.61,0.68,0.15,30.28,16.6,1.05,64.01,35.99,5.72,10.43,23.2,-32.4,-19.7,1.69,0.61,7.050000190734863,6.600832831038292,12.24454490157603,40.43831278235364,27.083352986529196,85.78426947859698,51.74366833918011,36.928572427658814,32.98095319566671,,,,6,False,13.0,,,n/d,n/d,,,,False,False,,,Em Baixa,8.079999923706055,-12.747521568029441,-34.92384963775389,False,False,False,sem sinal (Em Baixa; sem novo topo (-12.7%))
VTRU3,SMALL11,SMALL11,Consumo discricionário,70.25,71.62,62.5,,,0.9,P/L=1.75<2,87.47,89.17,46.0,7.64,10,Rompimento,8,8,True,,True,,,,True,True,True,True,5,8,True,True,True,True,True,True,True,True,True,3.96,False,2155486464.0,1.75,0.48,0.2,0.21,27.23,15.07,48.63,2.79,2.49,2.13,0.76,,0.36,1514.7,0.37,51.99,48.01,8.88,16.86,48.9,-21.5,-1.5,1.08,0.48,13.229999542236328,0.1944826451828737,0.3607653068142307,100.16999653407504,68.47175275659302,226.79999215262276,0.5218617645740443,91.47599683489118,81.20416279269924,,,,4,False,1166.2,,,n/d,n/d,,,Rompimento,False,False,,,Em Baixa,13.119999885559082,0.8384120246702098,-23.737176004211904,False,True,False,"Rompimento (vol x1.1, +0.8% do topo, MM50>MM200)"
