ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11+DIVO11+AUVP11,SMALL11,Imobiliário,77.13,74.86,90.0,,,0.8,,86.65,79.64,44.49,70.55,False,1,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.33,True,7648130048.0,3.7,1.05,6.17,8.1,28.4,16.71,13.12,52.59,4.92,1.22,1.3,1.73,0.86,0.25,29.95,90.2,6.73,7.25,0.72,61.6,36.26,5.01,13.76,130.2,-16.1,4.9,9.14,8.86,-27.9,39.4,56.4,7.38,13.76,41.04,1.39,0.61,0.06,11.539999961853027,False,False,True,6.672758904075064,12.377967767059243,41.325675539068264,27.771641787353243,72.03206056347197,19.57807411896471,37.73891879416801,19.203530252781718,,,,6,False,10.8,,,n/d,2026-10-01,próxima,,,False,False,,,Lateral,11.130000114440918,3.683736237164492,-17.914325807877184,True,False,False,sem sinal (Lateral)
VULC3,SMALL11+DIVO11,SMALL11,Consumo discricionário,77.0,78.23,70.0,,,0.9,,87.33,64.57,65.68,96.58,False,2,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4177701888.0,4.55,1.59,29.65,15.44,35.06,31.82,17.83,24.89,6.12,0.76,0.6,2.96,0.37,0.44,70.26,-64.7,5.83,11.45,1.64,37.42,62.57,13.3,20.08,0.0,-33.8,-9.3,17.02,16.78,-33.8,25.7,-33.2,13.3,19.91,-48.56,0.86,0.58,0.14,13.300000190734863,False,False,False,14.669369378973308,27.211680197995488,38.73076978620591,23.45517328139389,75.61646689910249,48.59772155600467,26.96761435296761,9.02891883860343,,,,6,False,8.4,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,13.819999694824219,-3.7626593022581756,-34.25522569859969,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.8%))
MDNE3,SMALL11,SMALL11,Imobiliário,74.38,71.62,90.0,,,0.8,,72.46,75.47,59.97,81.51,False,3,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$24.52, preço 5.7% acima do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2680500992.0,4.82,1.18,14.97,9.29,24.38,16.15,10.98,21.43,4.63,0.91,1.16,2.38,0.48,0.36,44.8,19.5,4.06,6.4,1.12,72.76,27.27,20.62,34.28,25.7,-24.4,-4.7,25.47,26.49,-33.9,44.9,12.7,22.65,34.28,-2.66,1.64,0.64,0.12,25.920000076293945,False,False,False,17.208321270218214,31.92143595625479,71.2531122429242,51.55392492410977,122.3529602560724,25.569657705437226,59.85574962335619,45.0615102470568,47.5358984498565,48.30771758558329,43.47694582702496,6,True,7.1,67.73513001177938,83.39466940562295,n/d,2026-01-02,última,,,False,False,,,Lateral,25.1200008392334,3.1847102322189347,-24.3873949845409,True,False,False,sem sinal (Lateral)
POMO3,SMALL11+DIVO11,SMALL11,Bens Industriais,73.5,74.12,70.0,,,0.7,,79.6,74.6,52.35,91.78,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5387677696.0,4.52,1.28,21.29,12.72,28.32,24.74,18.39,13.19,4.74,1.29,0.98,1.94,0.81,0.38,57.5,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,16.3,-33.0,-16.1,5.55,5.42,-42.4,35.2,-18.2,3.73,6.43,-33.56,0.91,0.45,0.04,4.340000152587891,False,False,False,3.943803358028123,7.315755229142168,12.722345580041935,8.558680251050912,23.771141926993373,11.120727032651722,9.82870374977577,5.433120466653573,8.4175908096206,8.558680251050912,7.702812225945821,7,True,6.0,77.48414643148631,93.95369847167612,n/d,2026-08-26,última,,,False,False,,,Lateral,4.21999979019165,2.8436106247007764,-33.55520307668661,True,False,False,sem sinal (Lateral)
POMO4,BOVA11+SMALL11+DIVO11+AUVP11+Carteira,BOVA11,Bens Industriais,72.63,73.1,70.0,,,0.7,,79.6,72.71,52.35,86.3,False,5,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5710441472.0,4.79,1.36,20.09,10.22,28.32,24.74,18.39,13.19,4.95,1.29,0.98,1.94,0.81,0.33,48.94,-14.0,4.71,8.76,1.02,59.93,39.42,3.93,7.69,17.0,-40.2,-15.7,5.8,5.9,-48.9,34.9,-18.4,3.93,6.81,-33.76,0.97,0.49,0.05,4.599999904632568,False,False,True,3.3572104201588524,6.22762532939467,12.724425623461697,8.548932161720279,23.69829729972793,11.520738981355555,11.293801080343263,5.428568876507689,11.34891276464444,11.293801080343263,10.164420972308937,7,True,7.1,120.96567789213539,146.715499998493,n/d,2026-08-26,última,"A Marcopolo (POMO4) apresenta uma sólida combinação de alta eficiência e valuation atrativo no setor de bens industriais, evidenciada por um ROE de 28,3% e um ROIC de 18,4% que se posicionam significativamente acima dos pares setoriais (14,5% e 12,6%, respectivamente). Essa elevada qualidade operacional convive com múltiplos de preço bastante descontados, visto que o P/L de 4,79 e o P/VP de 1,36 sugerem que o mercado ainda não precifica totalmente a rentabilidade da companhia. O expressivo Dividend Yield de 20,09% mostra-se sustentável no curto prazo, sendo amparado por uma forte geração de caixa e por um endividamento sob controle, com a relação Dívida Líquida/EBITDA em 1,29, patamar que está confortavelmente abaixo da média do setor de 2,39. No entanto, o crescimento histórico acende um sinal de alerta, dado que o CAGR de receita dos últimos cinco anos contraiu 14,0%, ficando muito aquém da expansão média de 21,6% registrada pelos seus pares. Esse descompasso entre a eficiência atual e o histórico de crescimento reflete-se no checklist de critérios fundamentais, no qual a empresa atende a 5 dos 8 requisitos estabelecidos, penalizada justamente pela ausência de expansão recente na receita, pela margem líquida de 13,19% (abaixo do sarrafo de 15%) e por vendas de papéis por parte de insiders. Sob a ótica do valuation, as estimativas de preço-teto revelam uma enorme dispersão entre os métodos analíticos, variando desde os conservadores R$ 3,36 pelo modelo de Bazin até os otimistas R$ 23,70 pela fórmula de Lynch. Diante dessa volatilidade metodológica, a média de R$ 11,35 e a mediana de R$ 11,29 convergem para um preço-teto ajustado com margem de segurança de R$ 10,16, o que projeta um expressivo potencial de valorização de 121,0% em relação à cotação atual de R$ 4,60. Em suma, o ativo destaca-se positivamente pelo seu excepcional retorno sobre o capital, endividamento saudável e proventos robustos, mas traz como contrapartida o desafio de retomar o crescimento de sua receita e superar a tendência lateralizada de suas ações.",,False,True,4.45,3.37,Lateral,4.5,2.222220102945971,-40.42814449868716,True,False,False,sem sinal (Lateral)
PSSA3,BOVA11+AUVP11,BOVA11,Insurance,72.59,72.17,75.0,,1.8,0.3,,75.6,51.77,100.0,52.05,False,6,Não,,,False,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,32684199936.0,8.95,2.04,5.91,5.34,22.84,17.35,79.28,8.13,,,,,,0.75,47.75,0.3,8.19,6.06,,71.59,28.18,43.07,55.45,18.4,-8.0,0.3,47.94,48.44,-16.1,25.9,10.1,44.27,55.45,-5.26,0.75,0.5,0.03,50.9900016784668,False,False,True,19.43199617068394,36.04635289661871,75.48799131169665,56.60433387561732,98.38487303632573,48.17791356755633,57.955281204209186,,44.78606348663891,42.112133232087515,37.90091990887876,4,True,3.9,-25.6698986835209,-12.16696996981631,2026-11-05,2026-06-23,última,,,False,False,,,Lateral,49.41999816894531,3.17685869625961,-8.20881659985968,True,False,False,sem sinal (Lateral)
ABCB10,SMALL11,SMALL11,Produtos financeiros,71.07,74.79,50.0,,,0.4,,74.67,75.0,,,False,7,Não,,,False,1,3,False,,,,,,True,,False,,1,2,True,False,,,False,,,,True,True,True,,True,,,0.85,,,14.9,,,40.92,,,,,,,,-2.9,,1.54,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,0,True,,,,n/d,n/d,,,,False,False,,,,,,,False,False,False,histórico insuficiente
MILS3,SMALL11,SMALL11,Bens Industriais,71.02,69.43,80.0,,,0.7,,84.08,58.48,57.15,55.48,False,8,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3581530624.0,8.2,1.95,5.39,5.7,23.81,18.37,20.65,23.53,4.87,1.28,0.87,2.98,0.99,0.65,46.78,21.3,8.4,11.12,0.54,61.6,38.32,10.3,15.81,52.7,-0.6,6.6,12.85,13.14,-15.0,27.0,24.2,12.01,15.81,8.84,0.71,0.46,0.07,15.720000267028809,False,False,False,6.405147969714053,11.881549483819569,25.401219943674597,18.647455363955977,35.23021121311526,12.298577947918657,20.392210986554904,18.95747391895965,20.4012426939998,18.95747391895965,17.061726527063687,7,True,5.5,8.535154180938665,29.77889534003031,n/d,2026-04-22,última,,,False,False,,,Lateral,15.75,-0.19047449505518177,-1.380171387364626,True,False,False,sem sinal (Lateral)
LEVE3,SMALL11+DIVO11+AUVP11,SMALL11,Consumo discricionário,70.47,70.55,70.0,,,0.9,,85.84,59.44,35.33,100.0,False,9,Não,,,False,6,8,False,,True,,True,False,True,False,True,True,7,10,True,True,True,False,False,True,True,True,True,True,True,1.2,True,4459233792.0,6.4,4.62,8.67,19.55,72.29,64.73,34.45,13.0,5.23,1.21,0.49,1.43,1.7,0.25,125.13,25.8,6.46,14.14,0.81,77.23,22.71,24.65,35.6,33.5,-7.6,0.2,32.23,31.22,-12.3,24.5,4.3,31.18,35.6,-11.06,0.63,0.45,0.11,32.900001525878906,True,True,True,45.94450225538663,85.2270516837422,68.11328440904617,28.699623695546176,154.21875715255737,98.51666666666667,62.201565384864814,26.107548714326295,71.12862499526705,65.15742489695549,58.64168240725994,8,True,5.9,78.2421875,116.19641853000458,n/d,2026-04-30,última,,,False,False,,,Em Alta,34.0,-3.2352896297679234,-9.141114725996013,True,False,False,sem sinal (Em Alta)
VTRU3,SMALL11,SMALL11,Consumo discricionário,70.44,74.05,50.0,,,0.9,,85.57,95.22,54.94,7.53,False,10,Fundo duplo,,,False,7,8,False,,True,,,,True,True,False,True,4,8,True,True,True,True,False,True,True,True,True,False,True,0.37,True,2199328000.0,2.02,0.55,0.17,0.21,27.23,9.79,15.07,46.56,3.06,2.1,1.95,2.56,0.56,0.13,0.42,-23.9,4.37,6.37,0.37,51.99,48.01,10.1,16.86,45.8,-12.6,10.7,13.42,13.31,-28.8,39.1,5.3,12.0,16.86,-10.06,1.17,0.52,0.06,14.729999542236328,,False,False,0.21692588494414516,0.4023975165713892,96.62004650229272,66.28831243854994,110.88463144691235,0.4757166666666666,88.23415567379186,35.22674052137245,,,,5,False,511.2,,,n/d,n/d,,,Fundo duplo,False,False,,,Em Alta,14.1899995803833,3.8054966724561545,-15.090597020706841,False,True,False,Fundo duplo — rompeu pescoço ~R$13.59 (candidato)
