ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,desvio_padrao,momentum_12_1,var_95,sharpe,liquidez_media,preco_p10_1a,preco_p50_1a,preco_p90_1a,g_implicito,teto_dispersao,teto_confiavel,teto_n_metodos,cagr_5a,cagr_3a,cagr_1a,desacelerando,anos_atipicos,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VULC3,SMALL11+DIVO11,SMALL11,Consumo discricionário,77.34,78.15,72.72727272727273,,,0.9,,87.38,64.4,65.7,95.89,False,1,Rompimento,,,False,6,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4385016320.0,4.59,1.61,22.24,15.43,35.06,31.82,17.83,24.89,6.18,0.76,0.6,2.96,0.37,0.45,70.82,-64.7,6.36,11.45,1.64,37.42,62.57,12.98,20.08,7.6,-30.5,-2.6,16.81,16.61,-35.4,26.0,-29.9,12.98,19.91,-45.85,1.64,-21.9,-2.78,-1.22,36931809.0,8.09,11.3,15.77,-6.4,8.5,False,6,,12.0,16.8,False,2025,0.86,0.58,0.16,13.960000038146973,False,False,False,15.38499356552892,28.539163064056144,40.29847505565302,24.3588845883454,78.04148957747589,48.511177009998775,27.68323437857049,9.140003716557434,,,,6,False,8.5,,,n/d,2025-12-23,última,,Rompimento,False,False,,,Lateral,13.609999656677246,2.5716413688372963,-30.992703865156756,True,True,True,"Rompimento (vol x0.9, +2.6% do topo, MM50>MM200)"
JHSF3,SMALL11+DIVO11+AUVP11,SMALL11,Imobiliário,77.01,74.56,90.9090909090909,,,0.8,,86.69,78.48,44.72,69.86,False,2,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,10,11,True,True,True,True,True,True,True,False,True,True,True,0.34,True,7766024192.0,3.71,1.05,6.16,8.09,28.4,16.71,13.12,52.59,4.92,1.22,1.3,1.73,0.86,0.25,30.0,90.2,9.31,7.25,0.72,61.6,36.26,5.11,13.76,131.3,-14.2,8.6,9.33,9.1,-27.9,39.3,60.1,7.38,13.76,44.15,2.48,94.8,-3.74,1.98,42704777.0,16.58,27.36,45.16,-10.2,10.8,False,6,,21.6,116.4,False,2025,1.36,0.6,0.06,11.8100004196167,False,False,True,6.820842308245007,12.652662481794488,42.178572927202495,28.383083036298874,73.48835542039909,19.57807411896471,38.51779112597361,20.95997259979513,,,,6,False,10.8,,,n/d,2026-10-01,próxima,,,False,False,,,Em Alta,12.15999984741211,-2.878284804172071,-15.993773842454651,True,False,False,sem sinal (Em Alta)
MDNE3,SMALL11+DIVO11,SMALL11,Imobiliário,74.44,71.53,90.9090909090909,,,0.8,,72.31,75.69,60.29,80.14,False,3,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$25.94, preço 2.5% abaixo do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,True,True,True,True,True,10,11,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2616384000.0,4.72,1.15,15.31,9.32,24.38,16.15,10.98,21.43,4.54,0.91,1.16,2.38,0.48,0.35,43.98,19.5,3.96,6.4,1.12,72.76,27.27,20.62,34.28,22.7,-26.2,-4.7,25.8,26.63,-33.9,45.3,10.0,22.65,34.28,-5.95,2.85,3.5,-5.03,0.24,26463731.0,16.37,29.26,52.31,-5.9,7.3,True,7,,43.4,50.1,False,,1.68,0.65,0.13,25.299999237060547,False,False,False,16.839756406141465,31.23774813339242,71.02224362098563,51.510035316254346,123.15190171538774,25.617118649870417,60.33292027663107,47.927551402800326,58.68564558790313,51.510035316254346,46.35903178462891,7,True,7.3,83.2372853067923,131.95908046486352,n/d,2026-01-02,última,,,False,False,,,Em Alta,26.299999237060547,-3.8022814791220716,-26.19603226958026,True,False,False,sem sinal (Em Alta)
POMO3,SMALL11+DIVO11,SMALL11,Bens Industriais,74.0,74.23,72.72727272727273,,,0.7,,79.77,75.02,52.71,90.41,False,4,Bandeira de alta,,,False,5,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5325580800.0,4.37,1.24,22.0,12.73,28.32,24.74,18.39,13.19,4.62,1.29,0.98,1.94,0.81,0.35,55.63,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,15.0,-33.8,-14.2,5.48,5.36,-42.4,35.4,-19.1,3.73,6.43,-35.05,2.23,-38.6,-3.47,-1.21,7437851.0,1.91,3.02,4.76,-7.2,6.4,True,7,,18.7,5.4,True,,0.93,0.46,0.05,4.289999961853027,False,False,False,3.900993464902085,7.236342877393367,13.007436955275196,8.741721902605535,24.832358828504248,11.17331788175786,10.37588746005763,5.1649459285008605,8.51437806721322,8.741721902605535,7.867549712344982,7,True,6.4,83.39276881826972,98.4703529819033,n/d,2026-08-26,última,,Bandeira de alta,False,False,,,Lateral,4.340000152587891,-1.152078087026076,-34.32069902200908,True,True,True,"Bandeira de alta — mastro +16%, recuo 26%, bandeira 7d (candidato)"
POMO4,BOVA11+SMALL11+DIVO11+AUVP11+Carteira,BOVA11,Bens Industriais,73.31,73.41,72.72727272727273,,,0.7,,79.77,74.18,52.71,84.25,False,5,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$4.56, preço 0.1% abaixo do pescoço; falta fechar acima e segurar",False,5,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5660757504.0,4.61,1.31,20.86,10.23,28.32,24.74,18.39,13.19,4.81,1.29,0.98,1.94,0.81,0.31,47.14,-14.0,4.81,8.76,1.02,59.93,39.42,3.93,7.69,15.9,-40.7,-13.5,5.77,5.8,-48.9,35.2,-19.1,3.93,6.81,-35.05,2.22,-46.8,-3.25,-1.59,58706985.0,1.78,2.81,4.43,-6.3,7.5,True,7,,18.7,5.4,True,,0.99,0.49,0.06,4.559999942779541,False,False,True,3.3306060321160107,6.178274189575199,13.106290507988916,8.801769391355302,24.92229321018764,11.572120105794903,11.95012280220258,5.1940253911933665,11.674985085471132,11.572120105794903,10.414908095215413,7,True,7.5,128.3971102172212,156.0303778941423,n/d,2026-08-26,última,"A Marcopolo (POMO4) apresenta-se como um caso de estudo robusto no setor de bens industriais, onde sua alta qualidade operacional convive com múltiplos de preço bastante atrativos. O retorno sobre o patrimônio líquido de 28,3% e o retorno sobre o capital investido de 18,4% situam-se confortavelmente acima das médias setoriais de 10,8% e 13,3%, respectivamente, enquanto o papel é negociado a um preço sobre lucro de apenas 4,61 vezes e preço sobre valor patrimonial de 1,31, sugerindo que a alta rentabilidade não está precificada com ágio excessivo. Essa forte rentabilidade é acompanhada por um endividamento controlado, visto que a relação entre dívida líquida e EBITDA de 1,29 vezes está bem abaixo da média dos pares de 2,38 vezes, garantindo segurança financeira junto a uma liquidez corrente de 1,94. O expressivo rendimento de dividendos de 20,86% mostra-se coerente com a geração de caixa atual, embora o investidor deva monitorar a sustentabilidade desse fluxo frente à necessidade de reinvestimento e ao endividamento sobre o patrimônio de 0,81. Sob a ótica do crescimento, o histórico de longo prazo acende um alerta, pois a taxa de crescimento anual composta da receita em cinco anos foi negativa em 14,0%, muito abaixo da média setorial de 47,1%, evidenciando que o período de cinco anos atrás merece uma checagem manual detalhada por possíveis eventos atípicos ou reestruturações. Além disso, a análise das janelas temporais mais recentes revela que a receita cresceu 18,7% em três anos, mas desacelerou para 5,4% no último ano, confirmando uma tendência de desaceleração que exige cautela quanto à perenidade da expansão recente. Por outro lado, o preço atual de R$ 4,43 embutiu um crescimento implícito de -6,3% ao ano pelo fluxo de caixa descontado reverso, um patamar altamente conservador que oferece ampla margem de segurança caso a empresa apenas estabilize suas operações. No campo do valuation, as estimativas de preço-teto revelam uma enorme dispersão entre os métodos, variando desde os conservadores R$ 3,24 pelo método de Bazin até os otimistas R$ 24,21 de Lynch, resultando em uma média de R$ 11,39 e um preço-teto ajustado com margem de segurança de R$ 10,42, o que aponta para um upside potencial de 135,1%. O checklist de critérios reforça essa dualidade ao aprovar 5 dos 8 filtros aplicados, penalizado pela margem líquida de 13,19% que não atinge o sarrafo de 15%, pelas vendas de insiders e pelo crescimento inferior ao setor. Em suma, os prós residem na extraordinária rentabilidade comparativa, no endividamento saudável e no valuation descontado com crescimento implícito pessimista, enquanto os contras concentram-se na clara desaceleração recente da receita e no histórico de crescimento de longo prazo abaixo dos pares.

Gatilho de falseamento: margem líquida abaixo de 10,8% no fechamento anual, o que igualaria a rentabilidade da empresa à média de retorno do setor e invalidaria a tese de eficiência operacional superior.",,False,True,4.45,2.47,Lateral,4.599999904632568,-0.8695644061371466,-40.946156374065254,True,False,False,sem sinal (Lateral)
PSSA3,BOVA11+AUVP11,BOVA11,Insurance,73.0,72.16,77.77777777777777,,1.8,0.3,,75.94,51.68,100.0,50.68,False,6,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$51.18, preço 1.7% abaixo do pescoço; falta fechar acima e segurar",True,4,6,False,,True,,False,False,True,,True,True,7,9,True,False,True,,True,,True,False,True,True,True,,True,32241913856.0,8.85,2.02,5.97,5.33,22.84,17.35,79.28,8.13,,,,,,0.73,47.21,0.3,8.12,6.06,,71.59,28.18,43.07,55.45,16.8,-9.3,-0.7,48.08,48.55,-16.1,25.8,8.6,44.27,55.45,-7.35,1.63,1.4,-2.69,-0.16,78015848.0,38.47,53.68,74.9,2.4,3.9,True,4,,20.5,17.0,True,2023,0.75,0.51,0.03,50.29999923706055,False,False,True,19.16582889104942,35.55261259289667,75.30790846226579,56.43024261259227,98.84795424409955,48.03392822216491,58.25882589684625,,44.5150695420942,41.79327040753079,37.61394336677771,4,True,3.9,-25.220787400998358,-11.500854438789066,2026-11-05,2026-06-23,última,,,False,False,,,Lateral,51.65999984741211,-2.632598943802922,-9.450945224311413,True,False,False,sem sinal (Lateral) · ⚡ cruzamento de médias (MM21>MM30) hoje
CURY3,BOVA11+SMALL11+DIVO11+AUVP11,BOVA11,Consumo discricionário,71.48,69.65,81.81818181818181,,,0.9,,89.4,38.02,57.11,84.93,False,7,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$32.71, preço 3.7% abaixo do pescoço; falta fechar acima e segurar",False,6,8,False,,True,,False,False,True,True,True,True,9,11,True,True,True,True,False,True,True,False,True,True,True,-0.13,True,9706578944.0,8.76,5.82,15.4,10.4,66.38,57.38,37.72,17.89,5.65,-0.15,-0.06,1.92,0.66,1.48,91.1,8.2,6.59,16.3,0.91,70.61,24.44,26.99,40.16,16.7,-21.5,1.3,31.65,31.91,-29.9,40.0,5.1,28.13,40.16,-10.85,2.52,7.2,-3.92,0.06,101059043.0,20.55,34.28,57.18,2.3,2.8,True,8,,33.7,37.5,False,,1.33,0.58,0.07,31.510000228881836,False,False,True,23.407167489688668,42.87706098988385,47.064387456935584,20.93274196426624,58.65220972053505,52.1662819940834,22.96226774924284,24.224875798375784,36.535874145376425,33.55096839412982,30.195871554716838,8,True,2.8,-4.170513058138525,15.950091653404396,n/d,2026-08-17,última,,,False,False,,,Lateral,33.65999984741211,-6.387402341879611,-21.711231644006713,True,False,False,sem sinal (Lateral)
MILS3,SMALL11,SMALL11,Bens Industriais,71.09,69.2,81.81818181818181,,,0.7,,84.31,57.32,57.62,54.11,False,8,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,9,11,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3602035712.0,8.24,1.96,5.36,5.69,23.81,18.37,20.65,23.53,4.89,1.28,0.87,2.98,0.99,0.65,46.9,21.3,8.49,11.12,0.54,61.6,38.32,10.3,15.87,53.5,-0.4,5.5,12.98,13.31,-15.0,26.7,24.9,12.01,15.87,8.95,1.68,46.3,-1.9,1.08,7022789.0,16.78,23.46,32.8,1.7,5.5,True,7,,18.9,16.7,True,,0.7,0.46,0.07,15.8100004196167,False,False,False,6.428129892124813,11.924180949891529,25.422634169893357,18.660853310832493,35.178045662350975,12.004402242671139,20.372562933879003,17.604019603723064,20.16667126760594,18.660853310832493,16.794767979749246,7,True,5.5,6.228763655886227,27.556424619594424,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.869999885559082,-0.37806847117232145,-0.8155531003061434,True,False,False,sem sinal (Em Alta)
PETR4,BOVA11+DIVO11+AUVP11,BOVA11,Energia,70.52,73.34,54.54545454545455,,,0.9,DY5a=41.0%>=20,85.74,80.27,36.8,,False,9,Não,,,False,7,8,False,,True,,True,False,True,True,True,False,6,11,True,True,True,True,True,True,True,False,True,True,True,0.61,True,672106872832.0,4.87,1.35,7.23,41.0,27.73,30.77,19.69,24.32,2.99,1.29,0.92,0.85,0.76,0.32,199.65,96.8,4.98,10.07,0.28,65.87,33.99,26.84,50.43,83.3,-2.5,18.0,37.51,36.71,-22.2,26.5,70.4,27.87,50.43,54.45,1.67,45.3,-2.55,1.68,2131133864.0,60.79,85.33,119.77,-5.4,5.4,True,8,,-10.5,-2.4,False,,0.4,0.26,-0.06,49.189998626708984,True,True,True,144.04338854727771,267.20048575520013,133.8331584812924,90.99901776996269,303.0184720331149,56.037506666666665,122.21745038668969,55.83309802322613,146.6478222079288,128.02530443399104,115.22277399059193,8,True,5.4,134.24024640657083,198.12528217535376,n/d,2026-08-24,última,,,False,False,,,Em Alta,50.43000030517578,-2.4588571702616746,-2.978307916188916,True,False,False,sem sinal (Em Alta)
PLPL3,SMALL11,SMALL11,Consumo discricionário,69.9,72.61,54.54545454545455,,,0.9,,77.7,85.35,52.77,57.53,False,11,Não,,,False,5,8,False,,True,,False,False,True,False,False,True,6,11,True,True,True,False,False,True,True,False,True,True,True,0.52,True,1411195904.0,4.48,1.22,7.34,6.32,27.32,38.02,24.26,8.62,1.87,1.22,0.7,3.0,1.2,0.3,28.32,-37.3,3.26,7.78,1.2,73.04,24.14,6.46,17.36,7.6,-60.0,-15.7,13.62,12.06,-62.8,50.4,-46.8,6.46,16.13,-62.75,3.18,-58.5,-5.74,-1.69,13729002.0,1.56,2.99,5.74,-6.8,10.5,False,6,,30.0,26.7,True,,1.52,0.53,0.09,6.949999809265137,False,False,False,3.1379760501239624,5.82094557297995,20.555244971598892,14.101234322450482,33.07626380373047,10.95072400487419,18.77120484198843,33.083180621013824,,,,6,False,10.5,,,n/d,2025-12-30,última,,,False,False,,,Lateral,7.610000133514404,-8.672803057422163,-60.01296772860759,True,False,False,sem sinal (Lateral)
