ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,beta,corr_ibov,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11,SMALL11,Imobiliário,78.16,76.07,90.0,,,0.8,,84.79,79.87,54.69,70.14,1,Não,6,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,False,True,True,False,True,0.19,True,7047147008.0,3.67,1.0,6.55,7.91,27.12,12.14,53.01,4.67,0.74,1.92,0.74,0.24,29.02,5.2,0.72,61.6,36.26,4.9,13.85,115.8,-23.7,-3.7,1.38,0.62,10.569999694824219,5.97052511873661,11.075324095256411,38.161443039896696,26.171776428600506,65.97747876966643,18.18935022085812,34.84931779492454,15.546305214186614,,,,6,False,11.1,,,n/d,2026-08-31,próxima,,,False,False,,,Em Baixa,11.149999618530273,-5.201793215688976,-25.319870646788868,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.2%))
VULC3,SMALL11,SMALL11,Consumo discricionário,76.2,77.29,70.0,,,0.9,,88.59,59.09,65.37,95.83,2,Não,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,0.23,True,4341040640.0,4.67,1.64,29.66,15.46,35.06,17.83,24.89,6.27,0.76,2.96,0.37,0.48,72.18,-64.7,1.64,37.42,62.57,13.63,20.08,1.4,-31.2,-9.3,0.92,0.6,13.819999694824219,15.257089321209012,28.301900690842714,39.210919905015174,23.68748368551063,74.60427403861779,47.019486524275116,26.049737383060755,8.975739085665447,,,,6,False,8.3,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.5,-4.689657277074355,-31.68475580815484,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.7%))
POMO3,SMALL11,SMALL11,Bens Industriais,75.91,75.19,80.0,,,0.7,,81.77,75.47,52.49,90.28,3,Não,5,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,False,False,True,True,False,True,0.37,True,4978015744.0,4.16,1.18,23.6,11.85,28.32,18.39,13.81,4.46,1.06,1.97,0.84,0.29,49.3,23.0,1.02,59.93,39.42,4.0,6.69,0.3,-40.0,-28.2,0.93,0.47,4.010000228881836,3.394234677075324,6.296305325974725,12.77223630593373,8.585151975389904,25.264291227569284,11.398030608523323,11.275402980826874,5.076124763357388,9.233875326667658,9.930277478108389,8.93724973029755,6,True,7.4,122.87404539100608,130.271192010442,n/d,2026-04-27,última,,,False,False,,,Em Baixa,4.989999771118164,-19.639270284309628,-40.51223602508195,True,False,False,sem sinal (Em Baixa; sem novo topo (-19.6%))
MDNE3,SMALL11,SMALL11,Imobiliário,75.69,73.16,90.0,,,0.8,,73.6,75.93,65.69,79.17,4,Não,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,0.21,True,2505714688.0,4.43,1.08,16.3,9.22,24.38,10.98,19.89,4.28,0.7,2.78,0.43,0.31,40.84,87.7,1.12,72.76,27.27,18.83,34.28,28.3,-29.5,-14.9,1.64,0.63,24.15999984741211,15.91119484551467,29.51526643842971,72.26185055941545,52.393142202255596,128.9374005246466,23.75830461101883,64.00871350175152,39.285833824220276,,,,6,False,8.1,,,n/d,2026-01-02,última,,,False,False,,,Em Baixa,25.399999618530273,-4.881888935988554,-29.521584866556815,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.9%))
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,74.53,73.56,80.0,,,0.7,,81.77,72.86,52.49,80.56,5,Não,5,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,False,False,True,True,False,True,0.37,True,5313193472.0,4.47,1.26,22.01,9.47,28.32,18.39,13.81,4.69,1.06,1.97,0.84,0.3,42.34,23.0,1.02,59.93,39.42,4.28,7.92,0.0,-46.0,-27.1,0.95,0.49,4.28000020980835,2.895712894015479,5.3715474183987135,12.686801516769714,8.554527273008796,23.431763683074266,11.544927304876158,11.585682894559515,5.0749997310797506,,,,7,False,8.1,,,n/d,2026-04-27,última,,,False,False,,,Em Baixa,5.380000114440918,-20.446094446726214,-46.16996107152779,True,False,False,sem sinal (Em Baixa; sem novo topo (-20.4%))
PSSA3,BOVA11,BOVA11,Insurance,72.82,72.44,75.0,,1.8,0.3,,76.96,50.68,100.0,51.39,6,Não,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,,True,29966391296.0,8.43,1.93,6.27,5.33,22.84,79.28,8.34,,,,,0.67,44.96,3.6,,71.59,28.18,43.07,55.45,8.6,-15.7,-8.0,0.77,0.51,46.75,17.811292010338914,33.039946679178684,73.48013048635823,54.9769234128435,99.28956499807776,47.305992147587254,58.6324005604444,,42.909340330865774,40.17296941338297,36.15567247204468,4,True,4.1,-22.66166316140176,-8.21531480028711,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,55.45000076293945,-15.689811800244701,-15.841583002560277,True,False,False,sem sinal (Em Baixa; sem novo topo (-15.7%))
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,71.96,70.54,80.0,,,0.9,,90.38,40.46,57.12,83.33,7,Rompimento,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,-0.2,True,9980742656.0,8.66,5.75,13.6,9.82,66.38,37.72,18.37,5.57,-0.2,1.94,0.71,0.87,85.07,33.5,0.91,70.61,24.44,27.53,40.96,17.7,-20.9,0.5,1.29,0.59,32.400001525878906,22.734530763389042,42.17255456608667,49.57275060252834,21.779275136677395,73.82686886848224,55.57294688192176,33.29811852315766,25.496082556023765,40.55664098728336,37.735336544622164,33.96180289015995,8,True,3.4,4.820374354098678,25.17481196687441,n/d,2026-05-18,última,"A Cury apresenta uma notável eficiência operacional no setor de consumo discricionário, evidenciada por um ROE de 66,4% e um ROIC de 37,7% que se posicionam muito acima dos pares setoriais, os quais registram médias de 11,7% e 12,7%, respectivamente. Essa alta qualidade do negócio convive com múltiplos de preço mistos, pois, enquanto o P/L de 8,66 sugere atratividade frente ao forte retorno, o P/VP de 5,75 indica um prêmio patrimonial elevado, embora o PEG de 0,87 aponte que o crescimento ainda não está totalmente precificado. A excelente rentabilidade, sustentada por uma margem líquida de 18,37%, é acompanhada por uma sólida estrutura de capital, na qual a relação dívida líquida sobre EBITDA de -0,2 revela uma posição de caixa líquido muito mais confortável que a média do setor de 2,83. Esse endividamento sob controle e a robusta liquidez corrente de 1,94 dão forte sustentabilidade ao expressivo dividendo distribuído, cujo rendimento de 13,6% mostra-se plenamente coerente com a geração de lucro e a saúde financeira da companhia. Por outro lado, o crescimento da receita nos últimos cinco anos, com um CAGR de 33,5%, ficou abaixo da média setorial de 55,5%, o que impediu a empresa de gabaritar o checklist de critérios fundamentalistas, no qual ela atendeu a 6 dos 8 requisitos devido também à ocorrência de venda de ações por parte de insiders. Sob a ótica do valuation, a análise dos preços-teto revela uma dispersão acentuada entre os métodos de avaliação, variando desde os conservadores R$ 21,75 por Graham e R$ 22,71 por Bazin até os otimistas R$ 49,51 por fluxo de caixa descontado e R$ 73,74 por Lynch. Essa divergência resulta em uma média de R$ 40,51 e uma mediana de R$ 37,69, estabelecendo um preço-teto ajustado com margem de segurança de R$ 33,92, o que confere um potencial de valorização de 4,8% em relação ao preço atual de R$ 32,36. Como principais prós, destacam-se a rentabilidade excepcional, a ausência de endividamento líquido e o dividend yield altamente atrativo; em contrapartida, pesam negativamente o crescimento histórico inferior ao dos seus pares, as transações de insiders e a tendência gráfica de baixa no curto prazo.",Rompimento,False,False,,,Em Baixa,32.029998779296875,1.155175649963458,-21.06378600031491,True,True,True,"Rompimento (vol x1.5, +1.2% do topo, MM50>MM200)"
MILS3,SMALL11,SMALL11,Bens Industriais,70.85,69.23,80.0,,,0.7,,86.35,53.78,57.2,54.86,8,Pivô de alta,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,0.69,True,3563304192.0,8.12,1.93,6.83,5.72,23.81,20.65,23.53,4.84,1.28,2.98,0.99,0.64,46.49,21.3,0.54,61.6,38.32,10.3,15.81,51.9,-1.1,9.4,0.76,0.48,15.640000343322754,6.395513255209888,11.863677088414342,25.52093652081607,18.740076015562266,35.56858450762686,12.607916962837209,20.571758923077034,17.944407711134897,20.40247967563838,18.740076015562266,16.86606841400604,7,True,5.6,7.839309742769518,30.450634448667955,n/d,2026-04-22,última,"A Mills (MILS3) apresenta-se como uma opção robusta no setor de bens industriais, destacando-se por uma eficiência operacional muito superior à de seus pares, evidenciada pelo ROE de 23,8% e ROIC de 20,6% que se posicionam bem acima das médias setoriais de 14,7% e 12,7%, respectivamente. Essa elevada qualidade de retorno convive com múltiplos de preço bastante atrativos, uma vez que o P/L de 8,12 e o P/VP de 1,93 sugerem que o mercado ainda não precifica totalmente a rentabilidade da companhia, configurando uma relação favorável entre qualidade e preço. No âmbito financeiro, a excelente rentabilidade é acompanhada por um endividamento controlado, visto que a relação dívida líquida sobre EBITDA de 1,28 vezes está confortavelmente abaixo da média do setor de 2,33 vezes, o que, somado a uma liquidez corrente de 2,98, confere grande segurança ao balanço. Essa solidez financeira e a forte geração de lucros dão sustentabilidade ao dividendo distribuído, cujo rendimento de 6,83% mostra-se coerente com a estrutura de capital e a capacidade de pagamento da empresa. Por outro lado, o crescimento histórico da receita nos últimos cinco anos, de 21,3%, ficou significativamente abaixo da média setorial de 117,7%, indicando que a companhia expande em ritmo mais lento que seus concorrentes diretos. No checklist de critérios fundamentalistas, a empresa atende a seis dos oito requisitos avaliados, sendo penalizada justamente pelo crescimento inferior ao do setor e por movimentações de venda de ações por parte de pessoas de dentro da companhia. Sob a ótica do valuation, as estimativas de preço-teto revelam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 6,37 por Bazin e R$ 11,82 por Gordon, até os otimistas R$ 25,42 por fluxo de caixa descontado e R$ 35,43 pelo modelo de Lynch. Diante dessa amplitude, a média dos modelos aponta para R$ 20,32 e a mediana para R$ 18,67, resultando em um preço-teto ajustado com margem de segurança de R$ 16,80, o que confere um potencial de valorização de 7,8% frente à cotação atual de R$ 15,58, que atualmente segue em tendência de alta com pivô gráfico confirmado. Em um balanço final, os principais pontos positivos residem na alta rentabilidade, no endividamento sob controle e no valuation atrativo, enquanto os pontos de atenção concentram-se no crescimento abaixo da média dos pares e nas transações recentes de insiders.",Pivô de alta,False,False,,,Em Alta,15.8100004196167,-1.0752692712329925,-1.882052979660953,True,True,True,Pivô de alta
BRSR6,SMALL11,SMALL11,Produtos financeiros,70.01,71.33,62.5,17.35,,0.4,,48.55,90.94,90.71,86.11,11,Não,2,6,False,,True,,False,False,True,,False,True,5,8,False,False,False,,False,,True,True,True,,True,5447539712.0,3.51,0.47,12.08,10.16,13.26,0.0,22.75,,,,,0.41,35.65,-8.3,,93.0,6.99,9.68,18.55,37.6,-28.2,-10.8,1.07,0.61,13.319999694824219,9.663628900092725,17.926031609672005,50.28205013003444,49.191830856318916,70.92482693228021,32.191344843073985,30.491146975565183,,33.466475527593474,32.191344843073985,28.97221035876659,3,True,5.2,117.50909176089834,151.24982202963272,n/d,2026-06-15,última,,,False,False,,,Em Baixa,14.449999809265137,-7.82007009935306,-28.479272073030625,True,False,False,sem sinal (Em Baixa; sem novo topo (-7.8%))
LEVE3,SMALL11,SMALL11,Consumo discricionário,69.99,69.99,70.0,,,0.9,,86.58,58.21,32.72,99.31,12,Rompimento,6,8,False,,True,,True,False,True,False,True,True,7,10,True,True,True,False,False,True,True,True,True,1.22,True,4608326144.0,6.13,4.43,9.05,19.55,72.29,34.45,12.31,5.05,1.09,1.37,1.44,0.18,119.84,35.0,0.81,77.23,22.71,24.26,35.6,40.2,-4.5,3.2,0.66,0.47,34.0,47.47781389938373,88.0713447833568,73.49102773246328,30.948391046901207,166.394779771615,106.30777596519847,67.11256117455139,27.898294654719596,82.82909919620998,73.49102773246328,66.14192495921695,7,True,6.0,94.53507340946162,143.6149976359117,n/d,2026-04-30,última,"A Mahle-Metal Leve (LEVE3) apresenta uma excepcional eficiência operacional no setor de consumo discricionário, entregando um ROE de 72,3% e um ROIC de 34,4% que se posicionam muito acima das médias de seus pares, de 11,7% e 12,7%, respectivamente. Essa expressiva qualidade técnica convive com múltiplos de preço mistos, uma vez que o P/L de 6,13 vezes sugere um papel descontado, enquanto o P/VP de 4,43 se mostra mais esticado devido à forte geração de valor sobre o patrimônio. No âmbito financeiro, a excelente rentabilidade é acompanhada por um endividamento sob controle, visto que a relação dívida líquida sobre EBITDA de 1,09 vezes está confortavelmente abaixo da média setorial de 2,83 vezes, garantindo solidez mesmo com uma liquidez corrente de 1,37. Essa estrutura de capital robusta confere sustentabilidade ao atraente dividend yield de 9,05%, patamar totalmente coerente com a alta capacidade de geração de lucro da companhia e com sua alavancagem contida. Por outro lado, o crescimento de longo prazo acende um sinal de alerta, dado que o CAGR de receita de cinco anos de 35,0% ficou abaixo da média do setor de 55,5%, o que impediu a empresa de atingir a pontuação máxima em seu checklist de critérios, no qual atendeu a 6 de 8 requisitos possíveis. Sob a ótica do valuation, as estimativas de preço-teto revelam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 30,72 de Graham até os R$ 165,17 de Lynch, estabelecendo uma média de R$ 82,22 e uma mediana de R$ 72,95. Tomando como referência o preço-teto ajustado com margem de segurança de R$ 65,66, o papel sinaliza um expressivo potencial de valorização de 94,5% frente à cotação atual de R$ 33,75, em um momento técnico de tendência lateral com sinal gráfico de rompimento. Como balanço final, LEVE3 destaca-se positivamente por sua rentabilidade fora da curva, endividamento saudável e proventos robustos, mas traz como contrapartida um ritmo de expansão de receita inferior ao de seus pares setoriais e uma nota de segurança corporativa mais moderada.",Rompimento,False,False,,,Lateral,32.47999954223633,4.679804430991741,-6.103284010908283,True,True,True,"Rompimento (vol x2.7, +4.7% do topo, MM50>MM200)"
